Time (msec),AFCorrection,AFLearning,AFR,LOAD,RPM,Knock,FineLearnKnock,IAM,IgnitionTotalTiming,IDC,AIT,Boost,Manifold Relative Pressure (Corrected) (psi),MAF,Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Vehicle Speed (mph)
1270263,-7.03,2.34,14.01,0.19,2002,0,0,1,38,1.26,120,3.48,-10.45,5.66,1.48,7.45,12
1270331,-7.03,2.34,14.24,0.18,1949,0,0,1,37,1.23,120,3.48,-10.45,5.15,1.4,7.06,12
1270397,-6.25,2.34,14.59,0.17,1908,0,0,1,37,1.21,120,3.34,-10.45,4.78,1.4,7.06,12
1270464,-4.69,2.34,15.39,0.16,1942,0,0,1,36.5,1.26,120,3.34,-10.59,4.98,1.42,7.06,12
1270533,-1.56,2.34,16.77,0.16,1997,0,0,1,36.5,1.29,120,3.34,-10.59,4.81,1.42,7.06,12
1270595,2.34,2.34,17.92,0.15,1985,0,0,1,36.5,1.25,120,3.34,-10.59,4.84,1.42,7.06,12
1270665,0,2.34,18.83,0.16,1929,0,0,1,36,1.22,120,3.34,-10.59,5.18,1.44,7.06,12
1270731,0,2.34,19.06,0.16,1876,0,0,1,35.5,1.18,120,3.34,-10.59,5.2,1.44,7.06,12
1270797,0,2.34,19.52,0.17,1817,0,0,1,35.5,1.15,120,3.34,-10.59,5.2,1.44,7.06,12
1270865,0,2.34,19.41,0.17,1815,0,0,1,35,1.16,120,3.34,-10.59,4.89,1.42,6.67,12
1270931,0,2.34,20.44,0.17,1841,0,0,1,35,1.17,120,3.34,-10.59,4.81,1.42,6.67,12
1271001,0,2.34,20.56,0.16,1851,0,0,1,34.5,1.17,120,3.19,-10.74,4.78,1.4,6.67,11
1271071,0,2.34,20.56,0.16,1807,0,0,1,34.5,1.14,120,3.19,-10.74,4.7,1.4,6.67,11
1271135,0,2.34,20.56,0.17,1759,0,0,1,34,1.11,120,3.19,-10.74,4.7,1.4,6.67,11
1271201,0,2.34,20.56,0.17,1727,0,0,1,33.5,1.1,120,3.19,-10.74,4.7,1.4,6.67,11
1271269,0,2.34,20.56,0.17,1726,0,0,1,33,1.1,120,3.19,-10.74,4.75,1.4,6.67,11
1271333,0,2.34,20.56,0.17,1735,0,0,1,33,1.1,120,3.19,-10.74,4.62,1.38,6.27,11
1271403,0,2.34,20.56,0.17,1698,0,0,1,32.5,1.07,120,3.19,-10.74,4.62,1.38,6.27,11
1271471,0,2.34,20.56,0.17,1654,0,0,1,32,1.06,120,3.19,-10.74,4.6,1.38,6.27,11
1271537,0,2.34,20.56,0.17,1621,0,0,1,31,1.04,120,3.19,-10.74,4.54,1.38,6.27,11
1271604,0,2.34,20.56,0.17,1608,0,0,1,31,1.04,120,3.34,-10.59,4.54,1.38,6.27,11
1271676,0,2.34,20.56,0.17,1613,0,0,1,30.5,1.02,120,3.34,-10.59,4.44,1.38,6.27,11
1271739,0,2.34,20.56,0.17,1592,0,0,1,30,1.01,120,3.19,-10.74,4.33,1.36,5.88,11
1271803,0,2.34,20.56,0.17,1549,0,0,1,29,0.99,120,3.34,-10.74,4.33,1.36,5.88,11
1271871,0,2.34,20.56,0.17,1505,0,0,1,27.5,0.96,120,3.34,-10.59,4.29,1.36,5.88,11
1271939,0,2.34,20.56,0.18,1494,0,0,1,27,0.95,120,3.34,-10.59,4.29,1.36,6.27,10
1272006,0,2.34,20.56,0.18,1472,0,0,1,26.5,0.95,120,3.48,-10.59,4.26,1.36,5.88,10
1272073,0,2.34,20.56,0.18,1455,0,0,1,25.5,0.93,120,3.48,-10.45,4.24,1.36,5.88,10
1272141,0,2.34,20.56,0.18,1440,0,0,1,25,0.91,120,3.48,-10.45,4.14,1.34,5.88,10
1272205,0,2.34,20.56,0.18,1396,0,0,1,24,0.89,120,3.48,-10.45,4.14,1.34,5.88,10
1272272,0,2.34,20.56,0.18,1376,0,0,1,23.5,2.03,120,3.63,-10.3,4.1,1.34,5.88,10
1272339,0,2.34,20.56,0.18,1346,0,0,1,25.5,2.02,120,3.63,-10.3,4.1,1.34,5.88,10
1272407,0,2.34,20.56,0.19,1365,0,0,1,29,2.03,120,3.63,-10.3,4.44,1.4,6.67,9
1272476,0,2.34,20.56,0.2,1370,0,0,1,30,2.35,120,3.77,-10.16,4.78,1.4,6.67,9
1272544,0,2.34,20.56,0.2,1385,0,0,1,30,2.35,120,3.77,-10.16,4.81,1.4,6.67,9
1272608,0,2.34,20.56,0.21,1366,0,0,1,29.5,2.34,120,3.77,-10.16,4.81,1.4,6.67,9
1272676,0,2.34,20.56,0.21,1347,0,0,1,29,2.25,120,3.92,-10.16,4.84,1.42,6.67,9
1272742,0,2.34,20.56,0.22,1291,0,0,1,27.5,2.19,120,3.92,-10.01,4.81,1.4,6.67,9
1272809,0,2.34,20.56,0.22,1270,0,0,1,26.5,2.14,120,3.92,-10.01,4.78,1.4,6.67,9
1272876,0,2.34,20.56,0.23,1251,0,0,1,26,2.16,120,3.92,-10.01,4.7,1.4,6.67,8
1272943,0,2.34,20.56,0.23,1271,0,0,1,27,2.17,120,3.92,-10.01,4.65,1.4,6.67,8
1273009,0,2.34,19.75,0.22,1272,0,0,1,27,2.17,120,4.06,-9.87,4.62,1.4,6.67,8
1273077,0,2.34,17.92,0.22,1274,0,0,1,27,2.2,120,4.06,-9.87,4.67,1.4,7.06,8
1273146,0,2.34,16.42,0.23,1292,0,0,1,27.5,2.19,120,4.06,-9.87,5.06,1.44,7.06,8
1273210,0,2.34,15.04,0.24,1290,0,0,1,27.5,2.21,120,4.21,-9.72,5.26,1.44,7.45,8
1273279,-0.78,2.34,14.13,0.24,1277,0,0,1,27,2.14,120,4.21,-9.72,5.27,1.44,7.06,8
1273345,-2.34,2.34,13.55,0.25,1215,0,0,1,25,2.07,120,4.35,-9.58,5.22,1.44,7.45,7
1273414,-3.12,2.34,12.98,0.26,1214,0,0,1,25,2.09,120,4.35,-9.58,5.25,1.48,7.84,7
1273479,-2.34,2.34,13.21,0.27,1233,0,0,1,25.5,2.1,120,4.5,-9.43,5.76,1.52,8.63,7
1273545,-0.78,2.34,13.55,0.28,1232,0,0,1,25.5,2.4,120,4.64,-9.29,6.41,1.54,8.63,7
1273613,0.78,2.34,14.13,0.29,1261,0,0,1,27,2.42,120,4.93,-9,6.48,1.54,8.63,7
1273683,1.56,2.34,14.59,0.3,1289,0,0,1,27.5,2.47,120,5.08,-8.85,6.48,1.54,8.63,7
1273746,3.12,2.34,15.04,0.3,1279,0,0,1,27.5,2.45,120,5.08,-8.85,6.49,1.54,8.63,7
1273813,3.12,2.34,15.27,0.31,1233,0,0,1,26.5,2.32,120,5.22,-8.85,6.53,1.54,8.63,7
1273883,3.91,2.34,15.27,0.32,1202,0,0,1,25.5,2.34,120,5.22,-8.71,6.56,1.54,8.63,7
1273948,4.69,2.34,15.39,0.32,1249,0,0,1,27,2.66,120,5.37,-8.56,6.54,1.56,8.63,7
1274015,4.69,2.34,15.5,0.32,1287,0,0,1,28,2.75,120,5.37,-8.56,6.67,1.56,8.63,7
1274081,5.47,2.34,15.39,0.32,1301,0,0,1,28.5,2.77,120,5.37,-8.56,7.04,1.58,9.02,7
1274149,5.47,2.34,15.27,0.33,1278,0,0,1,28,2.68,120,5.37,-8.56,7.09,1.56,9.02,7
1274216,5.47,2.34,15.04,0.33,1234,0,0,1,26.5,2.65,120,5.51,-8.42,7.01,1.58,9.02,7
1274283,5.47,2.34,14.93,0.34,1262,0,0,1,27.5,2.71,120,5.51,-8.42,7.15,1.58,9.02,7
1274349,5.47,2.34,14.93,0.33,1306,0,0,1,29,2.83,120,5.51,-8.42,7.11,1.58,9.02,7
1274416,6.25,2.34,14.81,0.33,1337,0,0,1,29.5,2.85,120,5.51,-8.42,6.95,1.56,9.02,7
1274487,6.25,2.34,14.81,0.33,1302,0,0,1,28.5,2.78,120,5.51,-8.42,6.82,1.56,8.63,7
1274552,5.47,2.34,14.7,0.33,1284,0,0,1,28,2.74,120,5.51,-8.42,6.72,1.56,8.63,7
1274617,5.47,2.34,14.59,0.32,1289,0,0,1,28,2.76,120,5.37,-8.56,6.64,1.56,8.63,7
1274684,5.47,2.34,14.47,0.32,1318,0,0,1,29,2.86,120,5.37,-8.56,6.64,1.54,8.63,7
1274752,5.47,2.34,14.36,0.31,1356,0,0,1,30,2.58,120,5.37,-8.56,6.29,1.54,8.63,7
1274818,4.69,2.34,14.36,0.31,1338,0,0,1,29.5,2.57,120,5.22,-8.71,6.53,1.52,8.24,7
1274886,4.69,2.34,14.36,0.3,1323,0,0,1,29,2.51,120,5.22,-8.71,6.15,1.5,8.24,7
1274952,4.69,2.34,14.36,0.29,1312,0,0,1,28.5,2.56,120,5.08,-8.71,5.91,1.5,7.84,7
1275020,4.69,2.34,14.24,0.28,1349,0,0,1,29.5,2.59,120,4.93,-8.85,5.95,1.48,7.45,7
1275085,3.91,2.34,14.24,0.27,1360,0,0,1,29.5,2.63,120,4.79,-9.14,5.3,1.4,6.67,7
1275158,3.91,2.34,14.36,0.25,1360,0,0,1,29.5,2.29,120,4.5,-9.43,4.79,1.4,6.67,7
1275221,3.91,2.34,14.24,0.24,1320,0,0,1,28,2.26,120,4.35,-9.58,4.44,1.36,5.88,7
1275289,3.91,2.34,14.13,0.22,1320,0,0,1,28,1.96,120,4.06,-9.87,3.87,1.26,5.49,7
1275356,3.12,2.34,14.01,0.2,1320,0,0,1,28,1.98,120,3.77,-10.01,3.5,1.3,5.49,7
1275421,2.34,2.34,13.9,0.19,1320,0,0,1,27.5,1.95,120,3.77,-10.16,3.6,1.28,5.49,7
1275489,2.34,2.34,13.78,0.18,1294,0,0,1,27,1.94,120,3.63,-10.3,3.64,1.3,5.49,7
1275557,1.56,2.34,13.78,0.18,1280,0,0,1,26,1.88,120,3.48,-10.45,3.63,1.28,5.49,7
1275622,1.56,2.34,13.78,0.18,1236,0,0,1,25,1.85,120,3.48,-10.45,3.53,1.3,5.49,7
1275689,1.56,2.34,13.78,0.18,1212,0,0,1,24,1.82,120,3.48,-10.45,3.68,1.3,5.49,7
1275757,1.56,2.34,13.9,0.18,1240,0,0,1,24.5,1.85,120,3.48,-10.45,3.84,1.32,5.49,7
1275822,1.56,2.34,14.13,0.18,1274,0,0,1,25.5,1.93,120,3.48,-10.45,3.82,1.3,5.49,7
1275890,1.56,2.34,14.36,0.18,1290,0,0,1,25.5,1.89,120,3.48,-10.45,3.77,1.3,5.49,7
1275958,1.56,2.34,14.36,0.18,1247,0,0,1,24.5,1.86,120,3.48,-10.45,3.73,1.3,5.49,7
1276023,1.56,2.34,14.36,0.19,1224,0,0,1,23.5,1.82,120,3.34,-10.59,3.75,1.3,5.49,7
1276089,1.56,2.34,14.36,0.19,1184,0,0,1,22.5,1.73,120,3.48,-10.45,3.84,1.32,5.49,7
1276158,1.56,2.34,14.47,0.2,1125,0,0,1,27,1.68,120,3.48,-10.45,3.87,1.32,5.49,7
1276225,1.56,2.34,14.47,0.2,1110,0,0,1,26.5,1.66,120,3.63,-10.3,3.7,1.28,4.71,7
1276294,1.56,2.34,14.47,0.19,1096,0,0,1,26.5,1.64,120,3.63,-10.3,3.29,1.24,4.71,7
1276359,0.78,2.34,14.36,0.19,1070,0,0,1,26,1.57,120,3.63,-10.3,3.15,1.26,4.71,7
1276426,0.78,2.34,14.36,0.19,1048,0,0,1,26,1.54,120,3.63,-10.3,3.13,1.24,4.71,7
1276492,0.78,2.34,14.36,0.19,1004,0,0,1,25.5,1.5,120,3.63,-10.3,3.1,1.24,4.71,7
1276561,0.78,2.34,14.36,0.19,978,0,0,1,25,1.46,120,3.63,-10.3,3.07,1.24,4.71,7
1276630,0.78,2.34,14.24,0.19,959,0,0,1,24.5,1.43,120,3.63,-10.3,3.07,1.26,4.71,7
1276693,0,2.34,14.13,0.19,945,0,0,1,24.5,1.4,120,3.63,-10.3,3.1,1.26,4.71,7
1276761,0,2.34,14.01,0.2,911,0,0,1,24,1.35,120,3.77,-10.16,3.13,1.26,4.71,7
1276828,0,2.34,13.9,0.2,877,0,0,1,24,1.29,120,3.77,-10.16,3.13,1.26,4.71,7
1276895,-0.78,2.34,13.9,0.21,852,0,0,1,23.5,1.27,120,3.92,-10.01,3.19,1.26,4.71,7
1276966,-0.78,2.34,13.9,0.22,826,0,0,1,23.5,1.23,120,3.92,-10.01,3.24,1.26,4.71,7
1277031,-0.78,2.34,13.9,0.22,800,0,0,1,23,1.2,120,4.06,-9.87,3.29,1.26,4.71,7
1277096,-0.78,2.34,14.01,0.23,796,0,0,1,23,1.17,120,4.21,-9.87,3.35,1.28,4.71,6
1277165,-0.78,2.34,14.01,0.23,779,0,0,1,23,1.31,120,4.21,-9.72,3.35,1.28,4.71,6
1277230,-0.78,2.34,14.01,0.24,765,0,0,1,23,1.31,120,4.35,-9.58,3.32,1.26,4.71,6
1277297,-0.78,2.34,14.13,0.24,752,0,0,1,23,1.27,120,4.5,-9.58,3.35,1.26,4.71,6
1277365,-0.78,2.34,14.13,0.25,738,0,0,1,23,1.27,120,4.5,-9.43,3.32,1.28,4.71,6
1277432,-0.78,2.34,14.24,0.26,734,0,0,1,23,1.25,120,4.64,-9.29,3.29,1.26,4.71,6
1277497,-0.78,2.34,14.36,0.26,735,0,0,1,23,1.24,120,4.64,-9.29,3.29,1.26,4.71,6
1277566,-0.78,2.34,14.47,0.26,742,0,0,1,22.5,1.27,120,4.79,-9.14,3.27,1.26,4.71,6
1277630,-0.78,2.34,14.47,0.26,741,0,0,1,22.5,1.27,120,4.79,-9.14,3.27,1.26,4.71,6
1277700,-0.78,2.34,14.59,0.26,743,0,0,1,22.5,1.29,120,4.79,-9.14,3.29,1.26,4.71,6
1277768,-0.78,2.34,14.59,0.26,756,0,0,1,22.5,1.29,120,4.79,-9.14,3.27,1.26,4.71,6
1277834,-0.78,2.34,14.59,0.26,762,0,0,1,22.5,1.3,120,4.93,-9,3.24,1.24,4.71,6
1277903,-0.78,2.34,14.59,0.26,772,0,0,1,22.5,1.32,120,4.79,-9.14,3.21,1.26,4.71,6
1277969,-0.78,2.34,14.59,0.25,780,0,0,1,22.5,1.34,120,4.79,-9.14,3.21,1.26,4.71,6
1278034,-0.78,2.34,14.47,0.25,799,0,0,1,20.5,1.36,120,4.79,-9.14,3.19,1.26,4.71,5
1278100,-0.78,2.34,14.47,0.25,808,0,0,1,19,1.38,120,4.79,-9.14,3.24,1.26,4.71,5
1278168,-0.78,2.34,14.47,0.25,819,0,0,1,17,1.4,120,4.64,-9.29,3.24,1.24,4.71,5
1278234,-0.78,2.34,14.47,0.24,814,0,0,1,18,1.4,120,4.64,-9.29,3.24,1.26,4.71,5
1278301,-0.78,2.34,14.47,0.24,813,0,0,1,18,1.4,120,4.64,-9.29,3.24,1.26,4.71,5
1278368,-1.56,2.34,14.36,0.24,810,0,0,1,18.5,1.38,120,4.5,-9.43,3.19,1.26,4.71,5
1278437,-1.56,2.34,14.36,0.24,804,0,0,1,19,1.37,120,4.5,-9.43,3.21,1.26,4.71,5
1278503,-1.56,2.34,14.36,0.24,805,0,0,1,19,1.37,120,4.5,-9.43,3.21,1.24,4.71,4
1278570,-1.56,2.34,14.36,0.24,798,0,0,1,18.5,1.36,120,4.5,-9.43,3.24,1.26,4.71,4
1278636,-1.56,2.34,14.36,0.24,806,0,0,1,18.5,1.37,120,4.5,-9.43,3.21,1.26,4.71,4
1278702,-1.56,2.34,14.36,0.24,800,0,0,1,19,1.35,120,4.5,-9.43,3.19,1.26,4.71,4
1278770,-1.56,2.34,14.36,0.24,800,0,0,1,19,1.36,120,4.5,-9.43,3.19,1.26,4.71,4
1278839,-1.56,2.34,14.47,0.24,788,0,0,1,20.5,1.34,120,4.5,-9.43,3.19,1.24,4.71,4
1278909,-1.56,2.34,14.47,0.24,783,0,0,1,21.5,1.35,120,4.5,-9.43,3.21,1.26,4.71,4
1278971,-1.56,2.34,14.47,0.24,786,0,0,1,20.5,1.34,120,4.5,-9.43,3.19,1.26,4.71,4
1279038,-1.56,2.34,14.47,0.24,780,0,0,1,21,1.33,120,4.64,-9.29,3.19,1.26,4.71,4
1279105,-1.56,2.34,14.59,0.24,776,0,0,1,21.5,1.32,120,4.5,-9.43,3.19,1.24,4.71,4
1279171,-1.56,2.34,14.59,0.24,784,0,0,1,20,1.32,120,4.64,-9.43,3.21,1.26,4.71,4
1279238,-1.56,2.34,14.59,0.24,781,0,0,1,20,1.33,120,4.5,-9.43,3.19,1.26,4.71,4
1279306,-1.56,2.34,14.59,0.24,781,0,0,1,20,1.33,120,4.5,-9.43,3.19,1.24,4.71,4
1279373,-1.56,2.34,14.59,0.24,792,0,0,1,18,1.35,120,4.64,-9.29,3.19,1.24,4.71,4
1279442,-1.56,2.34,14.59,0.24,783,0,0,1,19,1.32,120,4.5,-9.43,3.13,1.26,4.71,4
1279508,-1.56,2.34,14.59,0.24,766,0,0,1,21.5,1.31,120,4.64,-9.29,3.16,1.26,4.71,4
1279575,-1.56,2.34,14.59,0.24,767,0,0,1,21.5,1.31,120,4.64,-9.29,3.13,1.24,4.71,4
1279642,-1.56,2.34,14.59,0.24,775,0,0,1,20,1.31,120,4.64,-9.29,3.13,1.24,4.71,4
1279708,-1.56,2.34,14.59,0.24,773,0,0,1,20,1.32,120,4.64,-9.29,3.13,1.26,4.71,4
1279777,-1.56,2.34,14.59,0.24,772,0,0,1,20,1.32,120,4.64,-9.29,3.16,1.24,4.71,4
