Time (msec),AFCorrection,AFLearning,AFR,LOAD,RPM,Knock,FineLearnKnock,IAM,IgnitionTotalTiming,IDC,AIT,Boost,NA,MAF,Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Vehicle Speed (mph)
90544,0,0,11.02,2.51,4278,0,0,1,7.5,62.91,124,29.31,15.67,178.67,3.94,100,55
90612,0,0,11.02,2.53,4288,0,0,1,7.5,63.48,124,29.31,15.67,182.45,3.96,100,55
90679,0,0,11.02,2.53,4329,0,0,1,7.5,63.86,124,29.31,15.67,183.44,3.98,100,55
90746,0,0,11.02,2.55,4327,0,0,1,7.5,64.56,124,29.31,15.67,184.42,3.96,100,55
90813,0,0,11.02,2.54,4394,0,0,1,7.5,64.51,124,29.31,15.53,185.41,3.98,100,58
90880,0,0,11.02,2.56,4408,0,0,1,7.5,65.58,124,29.31,15.67,189.85,4,100,58
90946,0,0,11.02,2.57,4450,0,0,1,7.5,66.4,124,29.16,15.53,192.32,4,100,58
91019,0,0,11.02,2.58,4458,0,0,1,7.5,67.57,124,29.16,15.53,189.85,4,100,58
91080,0,0,11.02,2.59,4509,0,0,1,7.5,68.07,124,29.02,15.53,193.8,4.02,100,58
91147,0,0,11.02,2.58,4512,0,0,1,7.5,67.89,124,29.02,15.38,192.82,4.02,100,58
91214,0,0,11.02,2.58,4546,0,0,1,8,67.64,124,29.02,15.38,194.3,4.04,100,58
91281,0,0,11.02,2.57,4577,0,0,1,8,67.9,124,28.87,15.38,196.77,4.02,100,61
91350,0,0,11.02,2.56,4584,0,0,1,8,67.31,124,28.87,15.24,193.8,4.04,100,61
91415,0,0,11.02,2.57,4604,0,0,1,8,68.7,124,28.87,15.24,198.25,4.02,100,61
91482,0,0,11.02,2.58,4600,0,0,1,8,69.37,124,28.87,15.09,200.72,4.04,100,61
91550,0,0,11.02,2.54,4652,0,0,1,8,69.11,124,28.73,15.09,197.75,4.04,100,61
91619,0,0,11.02,2.55,4693,0,0,1,8.5,68.29,124,28.58,14.95,199.73,4.04,100,61
91683,0,0,11.02,2.53,4720,0,0,1,8.5,69.53,124,28.58,14.95,200.72,4.04,100,61
91751,0,0,11.02,2.53,4728,0,0,1,8.5,68.76,124,28.44,14.8,200.22,4.04,100,64
91817,0,0,11.02,2.52,4769,0,0,1,8.5,70.27,124,28.44,14.8,199.73,4.04,100,64
91884,0,0,11.02,2.52,4790,0,0,1,8.5,70.25,124,28.29,14.65,202.2,4.04,100,64
91951,0,0,11.02,2.49,4799,0,0,1,8.5,69.14,124,28.29,14.65,199.23,4.04,100,64
92018,0,0,11.02,2.48,4827,0,0,1,9,69.03,124,28.29,14.65,199.73,4.04,100,64
92087,0,0,11.02,2.46,4875,0,0,1,9,69.5,124,28.15,14.51,199.73,4.04,100,64
92152,0,0,11.02,2.46,4872,0,0,1,9,69.95,124,28,14.36,199.73,4.04,100,64
92221,0,0,11.02,2.44,4888,0,0,1,9,68.58,124,28,14.36,198.74,4.04,100,66
92285,0,0,11.02,2.44,4924,0,0,1,9,69.82,124,27.86,14.22,199.73,4.06,100,66
92354,0,0,11.02,2.45,4932,0,0,1,9,69.18,124,27.71,14.07,200.22,4.06,100,66
92421,0,0,11.02,2.44,4952,0,0,1,9,71.49,124,27.71,14.07,201.7,4.06,100,66
92495,0,0,11.02,2.45,5015,0,0,1,9.5,71.1,124,27.57,13.93,204.15,4.08,100,66
92555,0,0,11.02,2.43,5009,0,0,1,9.5,70.65,122,27.57,13.93,202.69,4.06,100,66
92621,0,0,11.02,2.41,5010,0,0,1,9.5,70.11,122,27.42,13.78,201.21,4.06,100,66
92689,0,0,11.02,2.4,5076,0,0,1,9.5,70.04,122,27.28,13.64,201.7,4.06,100,69
92755,0,0,11.02,2.41,5051,0,0,1,9.5,70.56,122,27.13,13.64,205.59,4.06,100,69
92822,0,0,11.02,2.4,5080,0,0,1,9.5,71.13,122,27.13,13.49,203.67,4.06,100,69
92890,0,0,11.02,2.4,5128,0,0,1,10,70.4,122,26.99,13.49,205.59,4.06,100,69
92956,0,0,11.02,2.39,5153,0,0,1,9.5,71.7,122,27.13,13.49,205.59,4.08,100,69
93023,0,0,11.02,2.39,5166,0,0,1,10,71.9,122,26.99,13.2,205.59,4.08,100,69
93093,0,0,11.02,2.39,5132,0,0,1,10,71.38,122,26.99,13.35,208.48,4.08,100,69
93157,0,0,11.02,2.36,5241,0,0,1,10,71.3,122,26.84,13.2,203.67,4.08,100,71
93226,0,0,11.02,2.36,5240,0,0,1,10,71.02,122,26.55,12.91,205.59,4.06,100,71
93292,0,0,11.02,2.35,5238,0,0,1,10,71.72,122,26.55,12.91,206.07,4.08,100,71
93361,0,0,11.02,2.34,5277,0,0,1,10.5,72.54,122,26.41,12.77,205.11,4.08,100,71
93427,0,0,11.02,2.34,5250,0,0,1,10.5,72.1,122,26.41,12.77,205.59,4.08,100,71
93492,0,0,11.02,2.33,5304,0,0,1,10.5,72.89,122,26.41,12.77,207.52,4.08,100,71
93558,0,0,11.02,2.33,5314,0,0,1,10.5,71.93,122,26.26,12.62,206.55,4.08,100,71
93626,0,0,11.02,2.32,5326,0,0,1,10.5,72.07,122,26.12,12.62,206.07,4.08,100,73
93696,0,0,11.02,2.31,5336,0,0,1,10.5,72.46,122,26.12,12.48,205.59,4.08,100,73
93763,0,0,11.02,2.3,5386,0,0,1,10.5,72.8,122,25.97,12.33,208,4.08,100,73
93826,0,0,11.02,2.31,5368,0,0,1,10.5,72.68,122,25.97,12.48,207.52,4.1,100,73
93895,0,0,11.02,2.29,5418,0,0,1,11,73.36,122,25.97,12.33,208,4.08,100,73
93967,0,0,11.02,2.28,5424,0,0,1,11,72.17,122,25.97,12.33,208.48,4.08,100,73
94029,0,0,11.02,2.26,5445,0,0,1,11,72.46,122,25.97,12.33,204.63,4.06,100,73
94095,0,0,11.02,2.26,5480,0,0,1,11,72.97,122,25.83,12.19,207.04,4.08,100,75
94162,0,0,11.02,2.26,5505,0,0,1,11,72.57,122,25.83,12.19,207.04,4.08,100,75
94229,0,0,11.02,2.25,5532,0,0,1,11.5,71.56,122,25.83,12.19,206.55,4.08,100,75
94297,0,0,11.02,2.24,5558,0,0,1,11.5,71.87,122,25.83,12.04,206.55,4.08,100,75
94364,0,0,11.02,2.24,5523,0,0,1,11.5,72.57,120,25.68,12.04,207.04,4.08,100,75
94427,0,0,11.02,2.24,5560,0,0,1,11.5,72.93,120,25.68,12.04,207.52,4.08,100,75
94497,0,0,11.02,2.24,5547,0,0,1,11.5,72.32,120,25.54,11.9,208.48,4.1,100,75
94565,0,0,11.02,2.22,5627,0,0,1,11.5,72.72,120,25.54,11.9,208,4.08,100,78
94630,0,0,11.02,2.22,5645,0,0,1,11.5,73.47,120,25.39,11.9,208,4.1,100,78
94697,0,0,11.02,2.22,5624,0,0,1,11.5,73.75,120,25.39,11.75,208.48,4.1,100,78
94764,0,0,11.02,2.21,5675,0,0,1,12,72.37,120,25.39,11.75,208.48,4.08,100,78
94832,0,0,11.02,2.2,5678,0,0,1,12,72.33,120,25.25,11.75,208,4.1,100,78
94899,0,0,11.02,2.2,5682,0,0,1,12,73.15,120,25.25,11.61,209.44,4.1,100,78
94965,0,0,11.02,2.2,5715,0,0,1,12,72.74,120,25.25,11.75,209.44,4.08,100,78
95032,0,0,11.02,2.18,5714,0,0,1,12,73.56,120,25.25,11.75,208.48,4.08,100,79
95099,0,0,11.02,2.19,5719,0,0,1,12,73.65,120,25.25,11.61,209.93,4.1,100,79
95167,0,0,11.02,2.18,5768,0,0,1,12,73.37,120,25.1,11.61,209.44,4.1,100,79
95234,0,0,11.02,2.17,5750,0,0,1,12,73,120,25.1,11.61,208,4.08,100,79
95300,0,0,11.02,2.17,5797,0,0,1,12,73.7,120,25.1,11.46,209.93,4.1,100,79
95367,0,0,11.02,2.16,5771,0,0,1,12,73.12,120,25.25,11.46,208.96,4.08,100,79
95440,0,0,11.02,2.14,5856,0,0,1,12.5,73.4,120,25.25,11.61,207.52,4.08,100,79
95501,0,0,11.02,2.13,5820,0,0,1,12.5,73.92,120,25.1,11.46,207.52,4.08,100,81
95569,0,0,11.02,2.14,5867,0,0,1,12.5,73.21,120,24.96,11.32,208.48,4.1,100,81
95636,0,0,11.02,2.14,5845,0,0,1,12.5,74.02,120,24.96,11.46,207.52,4.1,100,81
95702,0,0,11.02,2.13,5889,0,0,1,12.5,73.69,120,24.96,11.32,207.52,4.1,100,81
95769,0,0,11.02,2.14,5852,0,0,1,12.5,74.31,120,25.1,11.46,209.93,4.1,100,81
95838,0,0,11.02,2.11,5922,0,0,1,12.5,73.32,118,24.96,11.32,207.04,4.08,100,81
95903,0,0,11.02,2.11,5930,0,0,1,12.5,72.97,118,24.81,11.32,208.48,4.1,100,81
95970,0,0,11.02,2.11,5908,0,0,1,12.5,73.7,118,24.96,11.32,209.44,4.1,100,83
96038,0,0,11.02,2.11,5972,0,0,1,13,73.37,118,24.96,11.32,209.44,4.1,100,83
96107,0,0,11.02,2.1,5938,0,0,1,13,73.48,118,24.81,11.17,208,4.1,100,83
96171,0,0,11.02,2.09,5952,0,0,1,13,74.31,118,24.81,11.17,208,4.1,100,83
96238,0,0,11.02,2.09,6020,0,0,1,13,73.92,118,24.96,11.32,209.44,4.08,100,83
96307,0,0,11.02,2.08,5982,0,0,1,13,74.02,118,24.96,11.17,207.52,4.08,100,83
96373,0,0,11.02,2.08,5985,0,0,1,13,74.74,118,24.81,11.17,207.52,4.1,100,83
96439,0,0,11.02,2.09,6049,0,0,1,13,74.86,118,24.81,11.17,209.93,4.1,100,85
96506,0,0,11.02,2.07,6056,0,0,1,13,73.18,118,24.67,11.03,208,4.1,100,85
96573,0,0,11.02,2.07,6033,0,0,1,13,74.64,118,24.81,11.17,209.93,4.1,100,85
96640,0,0,11.02,2.05,6054,0,0,1,13.5,72.84,118,24.67,11.03,205.59,4.08,100,85
96707,0,0,11.02,2.05,6105,0,0,1,13.5,74.22,118,24.67,11.03,208.48,4.1,100,85
96776,0,0,11.02,2.04,6115,0,0,1,13.5,73.87,118,24.67,10.88,207.04,4.08,100,85
96847,0,0,11.02,2.04,6142,0,0,1,13.5,74.28,118,24.67,11.03,207.52,4.08,100,85
96908,0,0,11.02,2.05,6081,0,0,1,13.5,74.06,118,24.67,11.03,210.41,4.08,100,85
96975,0,0,11.02,2.03,6118,0,0,1,13.5,74.97,118,24.52,11.03,207.04,4.08,100,85
97044,0,0,11.02,2.04,6106,0,0,1,13.5,74.78,118,24.67,11.03,208,4.08,100,85
97109,0,0,11.02,2.04,6171,0,0,1,13.5,75.1,118,24.52,10.88,208,4.1,100,85
97177,0,0,11.02,2.04,6187,0,0,1,13.5,75.12,118,24.52,10.88,209.44,4.1,100,85
97244,0,0,11.02,2.03,6187,0,0,1,13.5,74.74,118,24.67,10.88,209.44,4.1,100,85
97311,0,0,11.02,2.02,6209,0,0,1,14,73.73,118,24.52,10.88,208,4.08,100,85
97378,0,0,11.02,2.01,6215,0,0,1,13.5,73.73,118,24.52,10.88,208,4.08,100,87
97445,0,0,11.02,2.01,6191,0,0,1,14,73.96,118,24.52,10.88,207.52,4.08,100,87
97511,0,0,11.02,2,6191,0,0,1,14,74.07,118,24.52,10.74,207.52,4.1,100,87
97579,0,0,11.02,2.01,6213,0,0,1,14,74.25,118,24.38,10.88,208,4.1,100,87
97645,0,0,11.02,2.01,6217,0,0,1,14,74.31,118,24.52,10.74,209.93,4.1,100,87
97712,0,0,11.02,1.73,6239,0,0,1,14,73.25,118,23.94,10.59,208.48,4.06,53.33,87
